<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20160303;000000;73.6256000;73.6256000;73.6256000;73.6256000;0
USDCB;D;20160304;000000;73.8242000;73.8242000;73.8242000;73.8242000;0
USDCB;D;20160305;000000;73.1854000;73.1854000;73.1854000;73.1854000;0
USDCB;D;20160310;000000;72.3775000;72.3775000;72.3775000;72.3775000;0
USDCB;D;20160311;000000;71.0928000;71.0928000;71.0928000;71.0928000;0
USDCB;D;20160312;000000;70.3067000;70.3067000;70.3067000;70.3067000;0
USDCB;D;20160315;000000;70.1542000;70.1542000;70.1542000;70.1542000;0
USDCB;D;20160316;000000;70.5408000;70.5408000;70.5408000;70.5408000;0
USDCB;D;20160317;000000;71.0256000;71.0256000;71.0256000;71.0256000;0
USDCB;D;20160318;000000;68.5598000;68.5598000;68.5598000;68.5598000;0
USDCB;D;20160319;000000;68.4026000;68.4026000;68.4026000;68.4026000;0
USDCB;D;20160322;000000;68.8086000;68.8086000;68.8086000;68.8086000;0
USDCB;D;20160323;000000;67.7764000;67.7764000;67.7764000;67.7764000;0
USDCB;D;20160324;000000;67.6409000;67.6409000;67.6409000;67.6409000;0
USDCB;D;20160325;000000;68.9328000;68.9328000;68.9328000;68.9328000;0
USDCB;D;20160326;000000;68.4346000;68.4346000;68.4346000;68.4346000;0
USDCB;D;20160329;000000;67.7807000;67.7807000;67.7807000;67.7807000;0
USDCB;D;20160330;000000;68.7549000;68.7549000;68.7549000;68.7549000;0
USDCB;D;20160331;000000;67.6076000;67.6076000;67.6076000;67.6076000;0
USDCB;D;20160401;000000;67.8552000;67.8552000;67.8552000;67.8552000;0
USDCB;D;20160402;000000;67.1410000;67.1410000;67.1410000;67.1410000;0
USDCB;D;20160405;000000;68.6753000;68.6753000;68.6753000;68.6753000;0
USDCB;D;20160406;000000;68.8901000;68.8901000;68.8901000;68.8901000;0
USDCB;D;20160407;000000;68.5215000;68.5215000;68.5215000;68.5215000;0
USDCB;D;20160408;000000;67.7960000;67.7960000;67.7960000;67.7960000;0
USDCB;D;20160409;000000;67.4662000;67.4662000;67.4662000;67.4662000;0
USDCB;D;20160412;000000;67.1250000;67.1250000;67.1250000;67.1250000;0
USDCB;D;20160413;000000;66.3456000;66.3456000;66.3456000;66.3456000;0
USDCB;D;20160414;000000;65.7662000;65.7662000;65.7662000;65.7662000;0
USDCB;D;20160415;000000;66.4954000;66.4954000;66.4954000;66.4954000;0
USDCB;D;20160416;000000;66.0452000;66.0452000;66.0452000;66.0452000;0
USDCB;D;20160419;000000;68.2724000;68.2724000;68.2724000;68.2724000;0
USDCB;D;20160420;000000;65.6474000;65.6474000;65.6474000;65.6474000;0
USDCB;D;20160421;000000;66.0364000;66.0364000;66.0364000;66.0364000;0
USDCB;D;20160422;000000;65.0254000;65.0254000;65.0254000;65.0254000;0
USDCB;D;20160423;000000;66.2198000;66.2198000;66.2198000;66.2198000;0
USDCB;D;20160426;000000;66.6295000;66.6295000;66.6295000;66.6295000;0
USDCB;D;20160427;000000;66.4559000;66.4559000;66.4559000;66.4559000;0
USDCB;D;20160428;000000;65.1618000;65.1618000;65.1618000;65.1618000;0
